n_items,PTAS_profit,PTAS_time_ms,PTAS_mem_B,DP_profit,DP_time_ms,DP_mem_B,EDA_profit,EDA_time_ms,EDA_mem_B
10,1.8491,0.07,6160,0.9950,257.59,315832,2.2053,10000.31,41464
20,5.6198,0.05,1112,0.9988,291.15,320800,3.8860,10000.62,33120
50,11.0254,0.12,1672,1.0000,440.32,324328,3.2318,10001.65,55968
100,29.1547,0.18,2576,1.0000,642.21,326008,3.3584,10003.42,173248
200,52.0708,0.89,4168,1.0000,1096.87,339372,2.9480,10002.83,672384
500,130.4482,2.30,9904,1.0000,2205.10,354336,3.1379,10005.37,4090172
1000,259.4609,8.16,18616,1.0000,4796.20,370232,4.2715,10005.08,16186812
1500,378.9969,17.91,27872,1.0000,6730.89,374104,3.6430,10032.16,36282684
2000,490.0414,30.85,35160,1.0000,8503.22,377560,3.4605,10018.93,64378140
2500,622.1796,49.45,44216,1.0000,10350.96,381912,3.9267,10151.74,100474468
3000,739.7376,74.30,53192,1.0000,12515.39,415416,3.0531,10081.00,144571972
4500,1086.1788,148.17,82480,1.0000,18925.52,510584,3.6625,10114.93,324859556
5000,1218.5339,185.10,91168,1.0000,21642.14,543304,5.7063,10167.72,400955980
